"TID","RID","t_avgrentE","r_avgrentE","t_avgrentM","r_avgrentM","t_avgrentCV","r_avgrentCV"
"g37119003016",0,1009.38123752495,1032.1217244294166,175.86826378672836,184.63826559938371,0.10591716457569232,0.1087489044079525
"g37119005811",0,1095.4887218045112,1032.1217244294166,833.7913871503694,184.63826559938371,0.46268305190954945,0.1087489044079525
"g37119003015",0,1331.25,1032.1217244294166,1505.789256996297,184.63826559938371,0.6876044383161594,0.1087489044079525
"g37097061003",1,768.0327868852459,701.8507638072856,322.44595091280706,114.74017752050482,0.25521797894309567,0.0993813377294723
"g37097061001",1,570.0,701.8507638072856,349.1930509681492,114.74017752050482,0.37241300161910007,0.0993813377294723
"g37097060100",1,734.6153846153846,701.8507638072856,224.74108227849015,114.74017752050482,0.1859758474590857,0.0993813377294723
"g37097060601",1,732.0652173913044,701.8507638072856,204.9724710530205,114.74017752050482,0.17020795812717113,0.0993813377294723
"g37097061301",1,587.7604166666666,701.8507638072856,305.5473196839403,114.74017752050482,0.3160183064606381,0.0993813377294723
"g37097060603",1,791.5584415584416,701.8507638072856,642.0356439827857,114.74017752050482,0.49307189945093766,0.0993813377294723
"g37097060701",1,423.3333333333333,701.8507638072856,441.5513511235271,114.74017752050482,0.6340636399351801,0.0993813377294723
"g37119002500",2,992.4485125858124,915.9090909090909,322.75455323097725,166.80678156036356,0.1976962767701639,0.11071218729824185
"g37119000900",2,705.7441253263707,915.9090909090909,242.02784790320058,166.80678156036356,0.20847412758069292,0.11071218729824185
"g37119001400",2,936.2255965292842,915.9090909090909,435.77012774275653,166.80678156036356,0.28295087606363367,0.11071218729824185
"g37119001000",2,963.4877384196185,915.9090909090909,414.34297342172096,166.80678156036356,0.26142546185095994,0.11071218729824185
"g37119001100",2,998.7704918032787,915.9090909090909,383.27073306721405,166.80678156036356,0.23327814448328946,0.11071218729824185
"g37025042300",3,743.510054844607,724.2258652094717,160.01886353262145,115.84584950836084,0.13083334145815034,0.0972390136871229
"g37025041902",3,781.8934911242603,724.2258652094717,250.37041369365787,115.84584950836084,0.19465676734231024,0.0972390136871229
"g37025042101",3,637.5930521091811,724.2258652094717,199.7228935722079,115.84584950836084,0.1904225476663048,0.0972390136871229
"g37179020404",4,742.5925925925926,793.4261178560853,143.09763904437466,135.53836058315036,0.11714289516931428,0.10384601454104495
"g37179020401",4,763.4099616858238,793.4261178560853,402.56172778048807,135.53836058315036,0.32055957851275835,0.10384601454104495
"g37179020312",4,1004.2462845010616,793.4261178560853,467.84139940238913,135.53836058315036,0.28319952077025684,0.10384601454104495
"g37179020306",4,720.4747774480712,793.4261178560853,532.7068092312471,135.53836058315036,0.44947295411418525,0.10384601454104495
"g37179020313",4,912.4528301886793,793.4261178560853,517.3785485314087,135.53836058315036,0.3446927058229019,0.10384601454104495
"g37109070600",5,480.63583815028903,541.0231185440236,241.96886014440824,68.31632134114477,0.3060394592479086,0.07676137525989365
"g45091061900",5,607.1428571428571,541.0231185440236,386.14307437270463,68.31632134114477,0.3866263573193538,0.07676137525989365
"g37109070901",5,415.88235294117646,541.0231185440236,339.7622283828884,68.31632134114477,0.49663657670013733,0.07676137525989365
"g45023020601",5,710.5263157894736,541.0231185440236,398.26779039167593,68.31632134114477,0.34074470415138325,0.07676137525989365
"g37109070700",5,590.188679245283,541.0231185440236,324.85485389784156,68.31632134114477,0.3346051208534271,0.07676137525989365
"g37071033400",5,662.7760252365931,541.0231185440236,369.1402251180933,68.31632134114477,0.33857795712400834,0.07676137525989365
"g45091061701",5,422.2591362126246,541.0231185440236,240.4950281476143,68.31632134114477,0.3462271694376154,0.07676137525989365
"g37071030502",5,669.1943127962086,541.0231185440236,481.01986180421363,68.31632134114477,0.43696320225547874,0.07676137525989365
"g37071030801",5,550.0,541.0231185440236,642.3957865008516,68.31632134114477,0.7100257380501261,0.07676137525989365
"g37071031701",5,450.2463054187192,541.0231185440236,328.3626137881136,68.31632134114477,0.44334074211347335,0.07676137525989365
"g37071031600",5,575.1453488372093,541.0231185440236,157.71167005203154,68.31632134114477,0.16669413366301372,0.07676137525989365
"g37071030602",5,608.6124401913876,541.0231185440236,451.9359685955227,68.31632134114477,0.4514089648279723,0.07676137525989365
"g37071030401",5,437.76824034334766,541.0231185440236,292.5731639662206,68.31632134114477,0.4062789630140616,0.07676137525989365
"g37109070500",5,491.46666666666664,541.0231185440236,274.0631238770269,68.31632134114477,0.3389929246912579,0.07676137525989365
"g45023020500",5,319.0082644628099,541.0231185440236,281.70545374987205,68.31632134114477,0.53681843085082,0.07676137525989365
"g37071030501",5,439.766081871345,541.0231185440236,290.2739007271813,68.31632134114477,0.4012549070712993,0.07676137525989365
"g37071031703",5,662.8070175438596,541.0231185440236,511.08782718768686,68.31632134114477,0.46875135603016266,0.07676137525989365
"g37071030700",5,673.1527093596059,541.0231185440236,334.8794490503338,68.31632134114477,0.30241894644524936,0.07676137525989365
"g37071030301",5,301.35135135135135,541.0231185440236,218.47090400774914,68.31632134114477,0.4407116795445755,0.07676137525989365
"g37071030205",5,567.3423423423424,541.0231185440236,229.7052577453307,68.31632134114477,0.2461273276024447,0.07676137525989365
"g37109070800",5,499.16805324459233,541.0231185440236,193.44962710541796,68.31632134114477,0.23558911021348775,0.07676137525989365
"g37119000400",6,953.483606557377,858.7725631768953,232.87760656753406,100.76827120267554,0.14847338025531995,0.07133123524042191
"g37119000800",6,683.7370242214533,858.7725631768953,154.87396033678712,100.76827120267554,0.13769665941858986,0.07133123524042191
"g37119000700",6,810.919540229885,858.7725631768953,443.2543789928122,100.76827120267554,0.33228395194832316,0.07133123524042191
"g37119000600",6,890.8791208791209,858.7725631768953,187.56715451743366,100.76827120267554,0.12798884120246162,0.07133123524042191
"g37119000500",6,850.758075148319,858.7725631768953,189.14072119504186,100.76827120267554,0.1351490690237045,0.07133123524042191
"g45091061007",7,1004.566210045662,1124.1601143674052,843.8821635785242,219.53396345875817,0.510666465387391,0.11871555949173143
"g37119005836",7,1097.5708502024293,1124.1601143674052,801.6378290897391,219.53396345875817,0.4439966942853903,0.11871555949173143
"g45091061008",7,1114.7783251231526,1124.1601143674052,769.6332358449649,219.53396345875817,0.4196907482912719,0.11871555949173143
"g37119005843",7,1166.6666666666667,1124.1601143674052,1034.7477784044088,219.53396345875817,0.5391651472363398,0.11871555949173143
"g45091061005",7,1014.2657342657343,1124.1601143674052,394.1421044774404,219.53396345875817,0.23623006813453817,0.11871555949173143
"g45091061004",7,1095.778364116095,1124.1601143674052,461.5436951368151,219.53396345875817,0.256049657524978,0.11871555949173143
"g37119005845",7,1206.605922551253,1124.1601143674052,447.7001701143315,219.53396345875817,0.22555678953469852,0.11871555949173143
"g37119005844",7,1414.9606299212599,1124.1601143674052,761.0731842163921,219.53396345875817,0.3269762146484661,0.11871555949173143
"g37119005838",7,1590.9420289855072,1124.1601143674052,1196.2782022997874,219.53396345875817,0.4571007481242598,0.11871555949173143
"g45057011201",7,546.4730290456431,1124.1601143674052,306.79701564476983,219.53396345875817,0.34128444618486586,0.11871555949173143
"g37119006005",8,749.7109826589596,1023.8753387533875,743.103693174876,193.2823223484336,0.6025452185391752,0.11475699046966646
"g37119006103",8,942.5490196078431,1023.8753387533875,291.48290960021563,193.2823223484336,0.1879936792988821,0.11475699046966646
"g37119006108",8,1218.4810126582279,1023.8753387533875,757.7741008877816,193.2823223484336,0.37805508997058207,0.11475699046966646
"g37119006007",8,1027.6315789473683,1023.8753387533875,617.3333891240411,193.2823223484336,0.3651879366989335,0.11475699046966646
"g37119006106",8,1002.8925619834711,1023.8753387533875,583.2404749567967,193.2823223484336,0.3535308702615956,0.11475699046966646
"g37119006104",8,1103.754266211604,1023.8753387533875,645.7985991815586,193.2823223484336,0.35567947239944264,0.11475699046966646
"g37119006008",8,1132.167832167832,1023.8753387533875,1062.648779035341,193.2823223484336,0.570575387644269,0.11475699046966646
"g37119006105",8,1151.4018691588785,1023.8753387533875,870.8690719610601,193.2823223484336,0.4597905434602762,0.11475699046966646
"g37119006109",8,890.1287553648069,1023.8753387533875,558.4643168009341,193.2823223484336,0.3813964933175182,0.11475699046966646
"g37119004400",8,953.3642691415313,1023.8753387533875,458.41443031361,193.2823223484336,0.29230315759558995,0.11475699046966646
"g37119006006",8,982.7361563517916,1023.8753387533875,608.6301741054386,193.2823223484336,0.37648757033420477,0.11475699046966646
"g45091061401",9,440.59945504087193,473.12775330396477,255.92370143622477,91.74946674638298,0.35310238453173065,0.11788518308643049
"g45023020602",9,537.6947040498443,473.12775330396477,266.8752037285384,91.74946674638298,0.30172171155564925,0.11788518308643049
"g45023021000",9,339.11290322580646,473.12775330396477,184.2590256186808,91.74946674638298,0.330307589773593,0.11788518308643049
"g45023020300",9,528.5185185185185,473.12775330396477,216.90538102153042,91.74946674638298,0.24948487112765838,0.11788518308643049
"g45023020200",9,437.573385518591,473.12775330396477,183.67090858911507,91.74946674638298,0.2551664508622045,0.11788518308643049
"g45023020100",9,516.2995594713657,473.12775330396477,297.774522634319,91.74946674638298,0.35060643296985594,0.11788518308643049
"g45023020900",9,447.14285714285717,473.12775330396477,441.4093847010099,91.74946674638298,0.6001079256352524,0.11788518308643049
"g45023020400",9,518.8811188811189,473.12775330396477,428.76777208784114,91.74946674638298,0.5023291310641679,0.11788518308643049
"g37179021012",10,1765.0,1590.909090909091,2811.7735399565877,0.0,0.9684333295871558,0.0
"g37179021008",10,1598.4962406015038,1590.909090909091,1316.9522887820362,0.0,0.5008325191020734,0.0
"g37179021011",10,1777.0114942528735,1590.909090909091,1905.8386567068974,0.0,0.6519735728775508,0.0
"g37179021010",10,0.0,1590.909090909091,"",0.0,"",0.0
"g37179020203",11,917.6470588235294,973.6676535899334,698.5775719389002,148.40723087804355,0.46277837748271,0.09265703887292281
"g37025042602",11,1037.5,973.6676535899334,782.9208720494341,148.40723087804355,0.45873709864836654,0.09265703887292281
"g37119005621",11,1147.549019607843,973.6676535899334,771.2862986529879,148.40723087804355,0.40858128310118563,0.09265703887292281
"g37179020202",11,836.0091743119266,973.6676535899334,395.7623494275716,148.40723087804355,0.28777796014930096,0.09265703887292281
"g37119005614",11,1358.4302325581396,973.6676535899334,861.6551161235244,148.40723087804355,0.3855939669543037,0.09265703887292281
"g37025042503",11,755.8232931726908,973.6676535899334,712.8555163002293,148.40723087804355,0.5733440902575903,0.09265703887292281
"g37025042501",11,706.2271062271062,973.6676535899334,495.38159957483475,148.40723087804355,0.4264121652559935,0.09265703887292281
"g37025041503",11,1468.888888888889,973.6676535899334,1779.5699855183332,148.40723087804355,0.7364787564970179,0.09265703887292281
"g37025042504",11,654.8780487804878,973.6676535899334,442.78170960983977,148.40723087804355,0.4110203617757876,0.09265703887292281
"g37119005709",11,877.433628318584,973.6676535899334,403.17418203376064,148.40723087804355,0.27932675504594495,0.09265703887292281
"g37025042604",11,1047.6608187134502,973.6676535899334,648.443991212132,148.40723087804355,0.3762581067037253,0.09265703887292281
"g37119005619",11,1044.7916666666667,973.6676535899334,991.2716643315306,148.40723087804355,0.5767625983800994,0.09265703887292281
"g37119005615",11,1577.3333333333333,973.6676535899334,1716.364191006064,148.40723087804355,0.6614850931532825,0.09265703887292281
"g37025042603",11,812.1212121212121,973.6676535899334,540.6392533827564,148.40723087804355,0.40468845805087694,0.09265703887292281
"g37119005711",11,993.0635838150289,973.6676535899334,627.9844672862816,148.40723087804355,0.3844199724728575,0.09265703887292281
"g37119005618",11,609.6774193548387,973.6676535899334,666.4429407825538,148.40723087804355,0.6645030206738126,0.09265703887292281
"g37179020311",11,964.9068322981367,973.6676535899334,522.9390612966226,148.40723087804355,0.32945780385601,0.09265703887292281
"g37119005706",11,810.3030303030303,973.6676535899334,453.39386153578545,148.40723087804355,0.3401435739561401,0.09265703887292281
"g37179020305",11,897.8494623655914,973.6676535899334,722.2167234031135,148.40723087804355,0.4889878985602501,0.09265703887292281
"g37025041501",11,1327.4725274725274,973.6676535899334,1014.6061736152602,148.40723087804355,0.46462872541208905,0.09265703887292281
"g37179020309",11,916.6666666666666,973.6676535899334,1278.7488487015562,148.40723087804355,0.8480235526067242,0.09265703887292281
"g37119005611",11,1003.5433070866142,973.6676535899334,485.693904196714,148.40723087804355,0.2942121689439338,0.09265703887292281
"g37025041502",11,1045.682451253482,973.6676535899334,813.9014893864103,148.40723087804355,0.47315792789975797,0.09265703887292281
"g37119005715",11,926.8656716417911,973.6676535899334,898.0562000255235,148.40723087804355,0.589007487694718,0.09265703887292281
"g37119001507",12,702.7857829010567,758.1302170283807,157.87288949687402,115.76514505950838,0.13655848443619917,0.09282567398551313
"g37119001608",12,752.2371364653244,758.1302170283807,186.01189152510545,115.76514505950838,0.15032113175981673,0.09282567398551313
"g37119001504",12,817.4528301886793,758.1302170283807,245.08379885136463,115.76514505950838,0.18225774780100673,0.09282567398551313
"g37119005514",13,881.3751668891856,931.1606493821178,196.98156428564312,112.00571196815069,0.1358622710090957,0.07312226815987545
"g37119005511",13,950.6706408345752,931.1606493821178,189.25021734189892,112.00571196815069,0.12101533368791706,0.07312226815987545
"g37119005522",13,968.7645687645688,931.1606493821178,192.19957606727488,112.00571196815069,0.12060582295470704,0.07312226815987545
"g37119002701",14,1113.3333333333333,922.3696682464455,848.5441727938751,181.50680906167915,0.46332244660495886,0.11962501538190173
"g37119002400",14,933.160621761658,922.3696682464455,205.93800506957135,181.50680906167915,0.13415726480367127,0.11962501538190173
"g37119002600",14,790.1554404145078,922.3696682464455,395.49329318448565,181.50680906167915,0.3042710870879694,0.11962501538190173
"g37119005831",15,922.7821149751597,955.6618017111223,156.08420361539697,125.35506879645536,0.10282385496647667,0.07973918084988152
"g37119005839",15,1035.8131487889273,955.6618017111223,195.21620343326944,125.35506879645536,0.11456937405353926,0.07973918084988152
"g37119005712",16,913.8790035587189,938.2276281494353,492.8614877114517,0.0,0.3278462963547565,0.0
"g37179020314",16,868.0473372781065,938.2276281494353,740.3780812142194,0.0,0.5184946046050728,0.0
"g37179020315",16,0.0,938.2276281494353,"",0.0,"",0.0
"g37179020316",16,758.0645161290323,938.2276281494353,1101.396908740779,0.0,0.8832258726240484,0.0
"g37119005835",16,0.0,938.2276281494353,"",0.0,"",0.0
"g37119005713",16,927.536231884058,938.2276281494353,842.7263191384055,0.0,0.552318731198233,0.0
"g37119005714",16,581.8181818181819,938.2276281494353,769.6468351221246,0.0,0.804152278338086,0.0
"g37179020310",16,1261.6161616161617,938.2276281494353,781.0631790122653,0.0,0.3763509517508926,0.0
"g37119005823",16,1356.6433566433566,938.2276281494353,950.9510782759496,0.0,0.4261147626154257,0.0
"g37097061601",17,819.6861626248217,828.3698477534348,312.62242290809786,163.15196824369255,0.2318497429252506,0.11972976572807009
"g37097061403",17,824.6777163904236,828.3698477534348,316.7150391014777,163.15196824369255,0.23346324853570158,0.11972976572807009
"g37097061602",17,807.7669902912621,828.3698477534348,282.525964997325,163.15196824369255,0.21262110120064062,0.11972976572807009
"g37097061203",17,898.3293556085919,828.3698477534348,418.75454241592405,163.15196824369255,0.2833727187856677,0.11972976572807009
"g37071031202",18,767.2727272727273,668.471255478216,342.25637330321507,94.3381130435062,0.27116640302621514,0.08579037096502755
"g37071031101",18,594.1896024464831,668.471255478216,301.9243639540554,94.3381130435062,0.30889239061888796,0.08579037096502755
"g37071031004",18,649.757281553398,668.471255478216,218.66726107184422,94.3381130435062,0.20458166450354381,0.08579037096502755
"g37071031102",18,676.0286225402505,668.471255478216,211.2199335017403,94.3381130435062,0.1899345251071114,0.08579037096502755
"g37071031001",18,584.4074844074844,668.471255478216,227.88084355356168,94.3381130435062,0.23704246073937316,0.08579037096502755
"g37071031302",18,670.1650943396227,668.471255478216,210.55437941286226,94.3381130435062,0.19099261407494028,0.08579037096502755
"g37071032302",18,707.5376884422111,668.471255478216,265.96559951597476,94.3381130435062,0.2285125134001061,0.08579037096502755
"g37071031201",18,704.0076335877862,668.471255478216,355.5598967498781,94.3381130435062,0.307022003140753,0.08579037096502755
"g37119006212",19,1004.5130641330167,967.7278401997503,349.92879478776246,136.28808727411177,0.21176695375993088,0.08561281140923488
"g37119006405",19,959.5419847328244,967.7278401997503,322.37010794808515,136.28808727411177,0.20423251259789751,0.08561281140923488
"g37119006303",19,843.4268833087149,967.7278401997503,309.2938225497911,136.28808727411177,0.22292455284677187,0.08561281140923488
"g37119006209",19,993.6476751800917,967.7278401997503,193.0219427296235,136.28808727411177,0.11808870481946518,0.08561281140923488
"g37119006407",19,1574.5454545454545,967.7278401997503,1708.3098008265442,136.28808727411177,0.6595466635227467,0.08561281140923488
"g37119005846",20,0.0,2100.0,"",0.0,"",0.0
"g37179021007",20,2905.2631578947367,2100.0,3677.252170638221,0.0,0.7694351707207414,0.0
"g37179021006",20,2123.076923076923,2100.0,2924.646768869019,0.0,0.8374170299832001,0.0
"g37119005510",21,938.860103626943,930.2884615384615,329.56286256445486,174.00456749313543,0.2133887305667042,0.11370435832825858
"g37119005512",21,1053.5469107551487,930.2884615384615,464.57236134452756,174.00456749313543,0.26806097236387355,0.11370435832825858
"g37119005404",21,843.1693989071039,930.2884615384615,293.65212509779985,174.00456749313543,0.21171538054158648,0.11370435832825858
"g37119005403",21,936.2162162162163,930.2884615384615,349.85352663115094,174.00456749313543,0.22716645172495184,0.11370435832825858
"g45057011202",22,1035.2941176470588,899.6784565916398,610.2613537515662,175.5176117205276,0.35833251636421054,0.11859529982354762
"g37179021005",22,542.258064516129,899.6784565916398,375.6110239292895,175.5176117205276,0.4210817392964448,0.11859529982354762
"g37179020902",22,643.3224755700326,899.6784565916398,439.04057612033745,175.5176117205276,0.4148680908589699,0.11859529982354762
"g37179021014",22,1111.0619469026549,899.6784565916398,733.1890823665212,175.5176117205276,0.40115463417457725,0.11859529982354762
"g37179021004",22,1364.327485380117,899.6784565916398,1148.2600312422153,175.5176117205276,0.5116296648780972,0.11859529982354762
"g37179021015",22,676.2755102040817,899.6784565916398,330.8793945643339,175.5176117205276,0.2974268416671781,0.11859529982354762
"g37179021013",22,1055.5555555555557,899.6784565916398,1051.71931070919,175.5176117205276,0.6056934120225698,0.11859529982354762
"g37179020502",22,834.4322344322344,899.6784565916398,458.18514085530086,175.5176117205276,0.33379822713759244,0.11859529982354762
"g37179020307",22,1168.7116564417179,899.6784565916398,798.6949668945095,175.5176117205276,0.4154393879609891,0.11859529982354762
"g37179020403",22,724.0896358543417,899.6784565916398,381.3178678120914,175.5176117205276,0.3201318779936073,0.11859529982354762
"g45091061104",22,959.6899224806201,899.6784565916398,945.3776712929183,175.5176117205276,0.5988368316226607,0.11859529982354762
"g37179020317",22,1295.8041958041958,899.6784565916398,1073.317428602197,175.5176117205276,0.5035271556356132,0.11859529982354762
"g37179020308",22,1226.5625,899.6784565916398,1244.4166062193942,175.5176117205276,0.6167514978649157,0.11859529982354762
"g45091061705",23,520.5128205128206,666.3977660564691,600.9734591290273,119.94761042558945,0.7018720680980449,0.10941885494811113
"g37071033306",23,703.0769230769231,666.3977660564691,897.5162669482065,119.94761042558945,0.7760211948099928,0.10941885494811113
"g37071033305",23,609.1346153846154,666.3977660564691,491.5340587136359,119.94761042558945,0.49054000768844036,0.10941885494811113
"g45023020700",23,514.8514851485148,666.3977660564691,341.2023021672538,119.94761042558945,0.4028692134544381,0.10941885494811113
"g45091061403",23,795.3488372093024,666.3977660564691,725.6561587327166,119.94761042558945,0.5546350775077198,0.10941885494811113
"g37071033304",23,618.1818181818181,666.3977660564691,473.7072944287724,119.94761042558945,0.46583052375438017,0.10941885494811113
"g45091061302",23,605.226480836237,666.3977660564691,367.0183795961463,119.94761042558945,0.36864130044321947,0.10941885494811113
"g45091061301",23,673.0973451327434,666.3977660564691,241.81959199991272,119.94761042558945,0.21839752088209144,0.10941885494811113
"g45091061707",23,843.9560439560439,666.3977660564691,332.96319860700834,119.94761042558945,0.2398338642448531,0.10941885494811113
"g37071033307",23,402.34375,666.3977660564691,374.8930769935438,119.94761042558945,0.5664274070312935,0.10941885494811113
"g45091061706",23,541.7840375586854,666.3977660564691,453.1462164911194,119.94761042558945,0.5084476572177041,0.10941885494811113
"g37071033202",23,619.5652173913044,666.3977660564691,461.88281927489464,119.94761042558945,0.4531884964889917,0.10941885494811113
"g45091061502",23,647.2019464720195,666.3977660564691,326.9282577729476,119.94761042558945,0.30707661390104773,0.10941885494811113
"g37109070201",24,584.9367088607595,643.0555555555555,166.579116677618,115.19059007720955,0.17311941477070547,0.108893662785443
"g37109070100",24,650.5091649694501,643.0555555555555,197.76244409805176,115.19059007720955,0.18480958798534372,0.108893662785443
"g37109070300",24,715.6015037593985,643.0555555555555,234.2372166586702,115.19059007720955,0.1989842727121812,0.108893662785443
