"TID","RID","t_avgroomsE","r_avgroomsE","t_avgroomsM","r_avgroomsM","t_avgroomsCV","r_avgroomsCV"
"g37119003015",0,7.956911024062675,6.839508437270727,0.3025288139249213,0.16749681256072407,0.023113001140168603,0.014887293653849654
"g37119003016",0,5.750254323499491,6.839508437270727,0.2432023117338865,0.16749681256072407,0.025710749869604508,0.014887293653849654
"g37119005811",0,6.924661565626839,6.839508437270727,0.33496767553311263,0.16749681256072407,0.02940616871332895,0.014887293653849654
"g37097061003",1,5.648404575556893,5.574283460425979,0.38331209159263824,0.19776493459990555,0.041253501928958713,0.021567228433050787
"g37097061001",1,5.881818181818182,5.574283460425979,0.438853362297718,0.19776493459990555,0.04535675044770484,0.021567228433050787
"g37097060100",1,5.732452830188679,5.574283460425979,0.5134358400344815,0.19776493459990555,0.05444773135314587,0.021567228433050787
"g37097060601",1,5.140466754733597,5.574283460425979,0.47731346819543974,0.19776493459990555,0.05644626779650847,0.021567228433050787
"g37097061301",1,5.462932454695222,5.574283460425979,0.39183450193731656,0.19776493459990555,0.04360245483369775,0.021567228433050787
"g37097060603",1,6.021978021978022,5.574283460425979,0.5276563563445972,0.19776493459990555,0.05326551197763444,0.021567228433050787
"g37097060701",1,5.367611336032389,5.574283460425979,0.6901338421858786,0.19776493459990555,0.07816032575842813,0.021567228433050787
"g37119001000",2,5.621533442088091,5.461667599328483,0.5734518751053681,0.3542937750485324,0.062012076808067966,0.039434138223860646
"g37119001100",2,5.91462113127001,5.461667599328483,0.6580361914894155,0.3542937750485324,0.0676327345449979,0.039434138223860646
"g37119002500",2,4.886621315192744,5.461667599328483,0.47675483832570126,0.3542937750485324,0.059308989118861,0.039434138223860646
"g37119000900",2,6.20935960591133,5.461667599328483,1.6821413841631303,0.3542937750485324,0.16468338346225586,0.039434138223860646
"g37119001400",2,4.982712765957447,5.461667599328483,0.5557831610062226,0.3542937750485324,0.06780685940066003,0.039434138223860646
"g37025042300",3,5.417191719171917,5.1292380605176815,0.47731048058384096,0.28746820282059177,0.053562502843047234,0.03406991541823297
"g37025041902",3,5.050387596899225,5.1292380605176815,0.45900797352162703,0.28746820282059177,0.05524966102008214,0.03406991541823297
"g37025042101",3,4.788065843621399,5.1292380605176815,0.5511981958759271,0.28746820282059177,0.0699812621742386,0.03406991541823297
"g37179020404",4,4.446855461566752,5.68494271685761,0.39900736431880174,0.2697134677396529,0.054545885373447,0.028841021453169816
"g37179020401",4,6.678276012189813,5.68494271685761,0.7742419486138362,0.2697134677396529,0.07047684128214303,0.028841021453169816
"g37179020312",4,5.646536412078153,5.68494271685761,0.5561474254384215,0.2697134677396529,0.05987449945010164,0.028841021453169816
"g37179020313",4,6.1045454545454545,5.68494271685761,0.6549167399178967,0.2697134677396529,0.06521790700488507,0.028841021453169816
"g37179020306",4,6.041077133728891,5.68494271685761,0.5619284169119348,0.2697134677396529,0.0565458467536749,0.028841021453169816
"g37071030700",5,6.153588195841717,5.64494034467521,0.843187869865959,0.12122441290520561,0.0832971262248011,0.013054637909773962
"g37071030301",5,5.1268796992481205,5.64494034467521,0.45996187668961147,0.12122441290520561,0.05453845213785591,0.013054637909773962
"g37071030205",5,4.857229280096794,5.64494034467521,0.4698214760053026,0.12122441290520561,0.05880013975454215,0.013054637909773962
"g37109070800",5,5.423076923076923,5.64494034467521,0.4095541295164693,0.12122441290520561,0.04590919126270539,0.013054637909773962
"g37109070600",5,5.874051593323217,5.64494034467521,0.3806328112407421,0.12122441290520561,0.03939150406186899,0.013054637909773962
"g45091061900",5,5.8844984802431615,5.64494034467521,0.5083337153335707,0.12122441290520561,0.052513813567517637,0.013054637909773962
"g45023020601",5,5.9729965156794425,5.64494034467521,0.9832237016081362,0.12122441290520561,0.10006775934127532,0.013054637909773962
"g37109070901",5,5.825518831667948,5.64494034467521,0.5278302460956965,0.12122441290520561,0.05507997824499877,0.013054637909773962
"g37109070700",5,5.735971223021583,5.64494034467521,0.47385958526230315,0.12122441290520561,0.05022001104141382,0.013054637909773962
"g45091061701",5,5.868078175895765,5.64494034467521,0.42332528398033364,0.12122441290520561,0.043854323417402905,0.013054637909773962
"g37071033400",5,5.655629139072848,5.64494034467521,0.6843810117133688,0.12122441290520561,0.07356159305305175,0.013054637909773962
"g37071030502",5,5.75726392251816,5.64494034467521,0.4994028584609058,0.12122441290520561,0.052731361266696246,0.013054637909773962
"g37071030801",5,5.3418803418803416,5.64494034467521,0.48743610587510294,0.12122441290520561,0.05546993253484454,0.013054637909773962
"g37071031701",5,5.433710859427048,5.64494034467521,0.4838822787783638,0.12122441290520561,0.054134893918611704,0.013054637909773962
"g37071031600",5,5.545454545454546,5.64494034467521,0.6035441199428291,0.12122441290520561,0.06616159568858558,0.013054637909773962
"g37071030602",5,5.235510579576817,5.64494034467521,0.6248408917504699,0.12122441290520561,0.07255118323474122,0.013054637909773962
"g37071030401",5,5.620771513353116,5.64494034467521,0.42518669693186856,0.12122441290520561,0.04598517402380445,0.013054637909773962
"g37109070500",5,5.780523255813954,5.64494034467521,0.5060556829284368,0.12122441290520561,0.053218821270139854,0.013054637909773962
"g45023020500",5,5.846409574468085,5.64494034467521,0.7243747027837822,0.12122441290520561,0.0753196227163849,0.013054637909773962
"g37071030501",5,5.5696913002806365,5.64494034467521,0.6611586333318368,0.12122441290520561,0.07216201404605863,0.013054637909773962
"g37071031703",5,5.695435684647303,5.64494034467521,0.43269888270939855,0.12122441290520561,0.04618414622481818,0.013054637909773962
"g37119000700",6,3.9950124688279303,3.9323094425483505,0.8075219217602384,0.3475311116833196,0.12287690942016082,0.053725454868676206
"g37119000600",6,3.676282051282051,3.9323094425483505,0.24776834674800638,0.3475311116833196,0.040970484220963894,0.053725454868676206
"g37119000500",6,3.711317254174397,3.9323094425483505,0.3192978435926137,0.3475311116833196,0.052300037772512,0.053725454868676206
"g37119000400",6,4.207100591715976,3.9323094425483505,1.4296774716684788,0.3475311116833196,0.20658047675646093,0.053725454868676206
"g37119000800",6,4.5777777777777775,3.9323094425483505,0.5989831879508233,0.3475311116833196,0.0795415453058313,0.053725454868676206
"g45057011201",7,6.476628723661904,6.738546013617395,0.5341831384448239,0.17929001289198238,0.0501389542317727,0.016174244276997866
"g45091061007",7,6.165983606557377,6.738546013617395,0.45397682771892434,0.17929001289198238,0.04475745851136258,0.016174244276997866
"g45091061008",7,7.828014184397163,6.738546013617395,1.052099293969852,0.17929001289198238,0.0817032294297895,0.016174244276997866
"g37119005843",7,7.270616493194556,6.738546013617395,0.5547384821427918,0.17929001289198238,0.046382179713637506,0.016174244276997866
"g37119005836",7,6.819193324061196,6.738546013617395,0.6345085989019993,0.17929001289198238,0.05656380376390579,0.016174244276997866
"g45091061005",7,6.572140762463343,6.738546013617395,0.43940644619322056,0.17929001289198238,0.04064374004132746,0.016174244276997866
"g45091061004",7,6.699594544784372,6.738546013617395,0.4418538012176425,0.17929001289198238,0.040092595556833824,0.016174244276997866
"g37119005844",7,7.429538721963605,6.738546013617395,0.4398163899267186,0.17929001289198238,0.0359868353322113,0.016174244276997866
"g37119005845",7,6.516894320632638,6.738546013617395,0.4232146263930866,0.17929001289198238,0.03947790411451127,0.016174244276997866
"g37119005838",7,6.6657348242811505,6.738546013617395,0.6495048398004056,0.17929001289198238,0.05923364479447419,0.016174244276997866
"g37119004400",8,6.093109869646183,6.298118293504743,0.5100868058138218,0.15807791680723673,0.05089078832685963,0.015257890306413328
"g37119006006",8,6.080794090489381,6.298118293504743,0.4567174636526494,0.15807791680723673,0.04565847673871507,0.015257890306413328
"g37119006005",8,5.744924977934686,6.298118293504743,0.6551419305621367,0.15807791680723673,0.06932424240524585,0.015257890306413328
"g37119006103",8,7.077675840978594,6.298118293504743,0.6819770935825145,0.15807791680723673,0.058575124107735736,0.015257890306413328
"g37119006108",8,6.588822355289421,6.298118293504743,0.7543781657093028,0.15807791680723673,0.06960098874346093,0.015257890306413328
"g37119006007",8,6.609208523592085,6.298118293504743,0.5234545689814385,0.15807791680723673,0.048146379901698205,0.015257890306413328
"g37119006106",8,6.072218607677294,6.298118293504743,0.4136324979177526,0.15807791680723673,0.041409630194103916,0.015257890306413328
"g37119006008",8,6.038194444444445,6.298118293504743,0.26620301597889967,0.15807791680723673,0.02680031971766015,0.015257890306413328
"g37119006105",8,5.9165876777251185,6.298118293504743,0.6722178239410297,0.15807791680723673,0.0690673537393796,0.015257890306413328
"g37119006104",8,6.347984237647772,6.298118293504743,0.3674754119896678,0.15807791680723673,0.03519058961670993,0.015257890306413328
"g37119006109",8,6.187694704049845,6.298118293504743,0.3202542294650923,0.15807791680723673,0.03146299736472278,0.015257890306413328
"g45023020400",9,5.915223336371923,5.638289857802053,0.5513813262812775,0.22713996227892372,0.056665014577445896,0.02448951861419631
"g45091061401",9,5.785846153846154,5.638289857802053,0.545688387816858,0.22713996227892372,0.05733395857716326,0.02448951861419631
"g45023020602",9,5.851732991014121,5.638289857802053,0.6964582966269871,0.22713996227892372,0.07235102906690204,0.02448951861419631
"g45023021000",9,5.288461538461538,5.638289857802053,0.6506220261246602,0.22713996227892372,0.07478827379603721,0.02448951861419631
"g45023020300",9,5.285714285714286,5.638289857802053,0.5714627822870253,0.22713996227892372,0.06572314919919786,0.02448951861419631
"g45023020200",9,5.336417713152676,5.638289857802053,0.6471236111820723,0.22713996227892372,0.07371765754299141,0.02448951861419631
"g45023020100",9,5.706,5.638289857802053,0.7632616356243775,0.22713996227892372,0.08131595447701055,0.02448951861419631
"g45023020900",9,6.0479148181011535,5.638289857802053,0.6601880357139096,0.22713996227892372,0.06635842682420554,0.02448951861419631
"g37179021010",10,9.230931310577327,9.060585432266848,1.1189582442301813,0.5250717292853605,0.07368896536670079,0.03522868836513418
"g37179021012",10,8.227859778597786,9.060585432266848,1.2055960335407325,0.5250717292853605,0.08907360437508355,0.03522868836513418
"g37179021011",10,8.954354354354354,9.060585432266848,1.0827394836529833,0.5250717292853605,0.07350617006729243,0.03522868836513418
"g37179021008",10,9.364372469635628,9.060585432266848,0.7537002702419466,0.5250717292853605,0.04892761982287528,0.03522868836513418
"g37179020305",11,7.357908847184986,6.82614375862749,0.8773001047506425,0.13929266195611095,0.0724816173539651,0.012404718277410196
"g37025041501",11,7.564838709677419,6.82614375862749,0.5657508548499401,0.13929266195611095,0.04546316260121025,0.012404718277410196
"g37119005611",11,6.1010486177311725,6.82614375862749,0.5131361431419684,0.13929266195611095,0.051128401800524775,0.012404718277410196
"g37025041502",11,6.901250539025442,6.82614375862749,0.5281891970145243,0.13929266195611095,0.04652601089380701,0.012404718277410196
"g37179020203",11,7.213740458015267,6.82614375862749,0.8420257893239038,0.13929266195611095,0.07095760981742423,0.012404718277410196
"g37119005715",11,6.4942648592283625,6.82614375862749,0.7751039531531335,0.13929266195611095,0.07255444976152947,0.012404718277410196
"g37025042602",11,5.880376344086022,6.82614375862749,0.7534025263537977,0.13929266195611095,0.07788539881646207,0.012404718277410196
"g37119005621",11,6.6991525423728815,6.82614375862749,0.7550781106156874,0.13929266195611095,0.06851822616415766,0.012404718277410196
"g37179020202",11,6.48846304262808,6.82614375862749,0.722739219261351,0.13929266195611095,0.06771328519568597,0.012404718277410196
"g37119005614",11,6.675767918088737,6.82614375862749,0.48868389437613724,0.13929266195611095,0.04450009045574313,0.012404718277410196
"g37025042503",11,6.955213435969209,6.82614375862749,0.6995345750226796,0.13929266195611095,0.06114103983890847,0.012404718277410196
"g37025042501",11,6.534539473684211,6.82614375862749,0.541237578545046,0.13929266195611095,0.0503508787285894,0.012404718277410196
"g37025041503",11,6.951091703056768,6.82614375862749,0.6431155784653869,0.13929266195611095,0.0562432113016037,0.012404718277410196
"g37025042504",11,7.862567811934901,6.82614375862749,0.6758149114846924,0.13929266195611095,0.05225134374061999,0.012404718277410196
"g37119005709",11,6.675316034597472,6.82614375862749,0.47665714482823873,0.13929266195611095,0.04340785975744134,0.012404718277410196
"g37025042604",11,6.299901185770751,6.82614375862749,0.6787602808109332,0.13929266195611095,0.06549630213692419,0.012404718277410196
"g37119005615",11,7.788079470198675,6.82614375862749,1.4428443427112376,0.13929266195611095,0.11262199188914918,0.012404718277410196
"g37025042603",11,6.208304256803908,6.82614375862749,0.39642327710515957,0.13929266195611095,0.03881684669830669,0.012404718277410196
"g37119005711",11,7.509512761020882,6.82614375862749,0.7826232925750538,0.13929266195611095,0.06335415567047792,0.012404718277410196
"g37119005619",11,6.561365286855483,6.82614375862749,0.6690672513932089,0.13929266195611095,0.06198828972559927,0.012404718277410196
"g37119005618",11,7.543010752688172,6.82614375862749,0.751447126159796,0.13929266195611095,0.0605602694468094,0.012404718277410196
"g37179020311",11,6.795487277964474,6.82614375862749,0.6400356060266615,0.13929266195611095,0.05725555502436812,0.012404718277410196
"g37119005706",11,6.8206816421378775,6.82614375862749,0.5508064960876827,0.13929266195611095,0.049091394864200374,0.012404718277410196
"g37179020309",11,7.51731843575419,6.82614375862749,0.9998908705597018,0.13929266195611095,0.08085814119380723,0.012404718277410196
"g37119001504",12,5.341162880246438,4.882726361510191,0.33107914267053085,0.1977003631550284,0.03768166615202602,0.024613828972883976
"g37119001507",12,4.17125748502994,4.882726361510191,0.3980937625498399,0.1977003631550284,0.058016626432880906,0.024613828972883976
"g37119001608",12,4.881326352530541,4.882726361510191,0.2725006656313264,0.1977003631550284,0.03393624767456013,0.024613828972883976
"g37119005511",13,4.604716981132076,5.169450431034483,0.32974012896669513,0.21071207164390557,0.04353143249517194,0.024778735472408518
"g37119005522",13,5.026761819803746,5.169450431034483,0.3362351868971432,0.21071207164390557,0.04066202005072482,0.024778735472408518
"g37119005514",13,5.664924885695624,5.169450431034483,0.38588087997466647,0.21071207164390557,0.04140885312179849,0.024778735472408518
"g37119002600",14,4.6415094339622645,5.560039049788481,1.1682093720828979,0.35180454075622314,0.15300144987370842,0.03846428789328128
"g37119002701",14,6.978937728937729,5.560039049788481,0.8033952766966439,0.35180454075622314,0.06998001779220153,0.03846428789328128
"g37119002400",14,4.815028901734104,5.560039049788481,0.2829229837128676,0.35180454075622314,0.035719340270327776,0.03846428789328128
"g37119005839",15,6.002772643253235,5.266081871345029,0.525527238525559,0.2754361247545612,0.053220314161199975,0.03179562676799277
"g37119005831",15,4.925149700598802,5.266081871345029,0.31836349357993593,0.2754361247545612,0.03929505708768345,0.03179562676799277
"g37119005714",16,7.802824551873981,7.433272275284574,1.0380022066453736,0.22863228157268659,0.08086871321333124,0.018697847227796802
"g37179020310",16,7.88717067583047,7.433272275284574,0.5073776330038244,0.22863228157268659,0.039106070318895216,0.018697847227796802
"g37119005823",16,7.535467442706438,7.433272275284574,0.3776974788999389,0.22863228157268659,0.030469686503720915,0.018697847227796802
"g37119005712",16,6.560135135135135,7.433272275284574,0.4380488771151301,0.22863228157268659,0.04059232092370614,0.018697847227796802
"g37179020314",16,7.004310344827586,7.433272275284574,0.7005415266496935,0.22863228157268659,0.06079986314995703,0.018697847227796802
"g37179020316",16,7.249834327369118,7.433272275284574,0.5968176479929878,0.22863228157268659,0.0500434995427626,0.018697847227796802
"g37179020315",16,7.76456009913259,7.433272275284574,0.6552564086774051,0.22863228157268659,0.05130131755619083,0.018697847227796802
"g37119005835",16,7.509865005192108,7.433272275284574,0.6153409746962177,0.22863228157268659,0.049810144598177106,0.018697847227796802
"g37119005713",16,7.512345679012346,7.433272275284574,1.0686347933440925,0.22863228157268659,0.0864744571067641,0.018697847227796802
"g37097061601",17,5.119738751814223,5.6702647134412745,0.6135534026647221,0.2943923204853827,0.07285152816855726,0.03156147128852274
"g37097061403",17,6.0361596009975065,5.6702647134412745,0.6315635569218581,0.2943923204853827,0.06360488113515321,0.03156147128852274
"g37097061602",17,5.510190876738919,5.6702647134412745,0.5166336110647952,0.2943923204853827,0.056996752467419885,0.03156147128852274
"g37097061203",17,6.0602691632533645,5.6702647134412745,0.5571308191131604,0.2943923204853827,0.05588552915414482,0.03156147128852274
"g37071031201",18,5.5901106050748215,5.128437738731856,0.8273870248073626,0.24698849026165853,0.08997511342486657,0.029276942907684508
"g37071031202",18,4.6002506265664165,5.128437738731856,0.7103233913551628,0.24698849026165853,0.09386608856591751,0.029276942907684508
"g37071031101",18,5.70324846356453,5.128437738731856,0.760566796337267,0.24698849026165853,0.08106794557961758,0.029276942907684508
"g37071031004",18,4.9561688311688314,5.128437738731856,0.5226674504688581,0.24698849026165853,0.06410818189469654,0.029276942907684508
"g37071031102",18,4.913001912045889,5.128437738731856,0.6909216515376134,0.24698849026165853,0.08549012793973064,0.029276942907684508
"g37071031001",18,4.945117029862793,5.128437738731856,0.4912174210804942,0.24698849026165853,0.06038530781524919,0.029276942907684508
"g37071031302",18,5.322469135802469,5.128437738731856,0.7317433311483932,0.24698849026165853,0.08357564156499682,0.029276942907684508
"g37071032302",18,4.667582417582418,5.128437738731856,0.5397977287339945,0.24698849026165853,0.07030288628897527,0.029276942907684508
"g37119006303",19,6.445716903344022,5.875449796865931,0.5604094104827385,0.21959364066175915,0.05285283526655928,0.022720230703286253
"g37119006209",19,4.803722504230119,5.875449796865931,0.30907425500709973,0.21959364066175915,0.039112809898000374,0.022720230703286253
"g37119006407",19,7.22771474878444,5.875449796865931,0.41536653359876957,0.21959364066175915,0.03493530954278351,0.022720230703286253
"g37119006212",19,5.690404797601199,5.875449796865931,0.4088591895847731,0.21959364066175915,0.04367819665714256,0.022720230703286253
"g37119006405",19,5.786666666666667,5.875449796865931,0.6749408588778101,0.21959364066175915,0.0709041004241813,0.022720230703286253
"g37179021007",20,10.199076745527986,9.76385336743393,1.1246214003596762,0.473004431661588,0.06703159931121504,0.02944950903290189
"g37119005846",20,9.4515625,9.76385336743393,0.5007718930865522,0.473004431661588,0.032208495018684134,0.02944950903290189
"g37179021006",20,9.552709946396664,9.76385336743393,0.5395494220932203,0.473004431661588,0.03433513332886791,0.02944950903290189
"g37119005510",21,5.523953605648008,5.725359477124183,0.43071278239316424,0.21211173566013455,0.047399289956155125,0.022521433783828173
"g37119005512",21,5.683427398665983,5.725359477124183,0.39526448764219757,0.21211173566013455,0.04227772195431334,0.022521433783828173
"g37119005404",21,5.805730937348227,5.725359477124183,0.3695228995180392,0.21211173566013455,0.03869176575594707,0.022521433783828173
"g37119005403",21,5.915611814345992,5.725359477124183,0.5142937973048324,0.21211173566013455,0.052850088220148056,0.022521433783828173
"g37179020308",22,6.765829694323144,6.817267936765302,0.5190093131617961,0.23245432666975174,0.046632445022684675,0.02072818941349786
"g45057011202",22,6.613138686131387,6.817267936765302,0.4559953285268525,0.23245432666975174,0.04191667841420506,0.02072818941349786
"g37179021005",22,6.00056338028169,6.817267936765302,0.5187316488578247,0.23245432666975174,0.05255146365083741,0.02072818941349786
"g37179021014",22,6.718172983479106,6.817267936765302,0.8445633957850914,0.23245432666975174,0.0764214318261976,0.02072818941349786
"g37179021004",22,8.01856946354883,6.817267936765302,0.8424569369650408,0.23245432666975174,0.06386823471475364,0.02072818941349786
"g37179020902",22,6.174428450465707,6.817267936765302,0.43113366977822315,0.23245432666975174,0.042447222338681645,0.02072818941349786
"g37179021015",22,6.552920763447079,6.817267936765302,0.5734766033949104,0.23245432666975174,0.05320039850464512,0.02072818941349786
"g37179021013",22,6.821736249171637,6.817267936765302,0.8720369879702983,0.23245432666975174,0.07770949376165535,0.02072818941349786
"g37179020502",22,6.364412344057781,6.817267936765302,0.6599079257663848,0.23245432666975174,0.06303171630090613,0.02072818941349786
"g37179020307",22,6.637488947833775,6.817267936765302,0.572058766637643,0.23245432666975174,0.05239271837204621,0.02072818941349786
"g37179020403",22,7.784515430427721,6.817267936765302,2.1477525829758912,0.23245432666975174,0.16772073768377435,0.02072818941349786
"g45091061104",22,6.95865451997197,6.817267936765302,0.7933460149195191,0.23245432666975174,0.06930610096145075,0.02072818941349786
"g37179020317",22,7.819436775262286,6.817267936765302,0.7786622129744293,0.23245432666975174,0.06053516422610631,0.02072818941349786
"g45091061706",23,6.286199095022624,6.290685634538334,0.6335849326622384,0.15355191666549708,0.06127041284476696,0.01483854632304194
"g45091061502",23,6.066775777414075,6.290685634538334,0.38916896193106587,0.15355191666549708,0.03899548709787307,0.01483854632304194
"g37071033307",23,6.246376811594203,6.290685634538334,1.0727830871305486,0.15355191666549708,0.10440416788836009,0.01483854632304194
"g37071033202",23,5.76536312849162,6.290685634538334,0.6632521490421902,0.15355191666549708,0.06993363415008604,0.01483854632304194
"g45091061705",23,6.318567961165049,6.290685634538334,0.6405782663539521,0.15355191666549708,0.06162935697640709,0.01483854632304194
"g37071033306",23,6.285234899328859,6.290685634538334,0.5153457596983858,0.15355191666549708,0.04984381683404352,0.01483854632304194
"g45023020700",23,6.418118466898955,6.290685634538334,0.7839545713974798,0.15355191666549708,0.0742535574821463,0.01483854632304194
"g45091061403",23,6.510806536636795,6.290685634538334,0.6416077904181587,0.15355191666549708,0.059905808713333925,0.01483854632304194
"g37071033305",23,5.829903147699758,6.290685634538334,0.513807369241753,0.15355191666549708,0.05357634550710746,0.01483854632304194
"g45091061302",23,6.112586298459904,6.290685634538334,0.42553477507600257,0.15355191666549708,0.0423198530400742,0.01483854632304194
"g37071033304",23,7.111176470588235,6.290685634538334,0.5819679878449764,0.15355191666549708,0.04974984565266873,0.01483854632304194
"g45091061301",23,6.0282722513089,6.290685634538334,0.3944554729494321,0.15355191666549708,0.03977765951287611,0.01483854632304194
"g45091061707",23,6.52159375870716,6.290685634538334,0.38496287505728705,0.15355191666549708,0.035883864204943765,0.01483854632304194
"g37109070300",24,5.852941176470588,5.4323106257583635,0.5083801508215172,0.3118087093580133,0.05280177522240865,0.034892954480935635
"g37109070201",24,4.998789346246974,5.4323106257583635,0.5479732467946143,0.3118087093580133,0.06663902250482008,0.034892954480935635
